filename,cipher_family,code,target_size,implementation,sample_id,fingerprint,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
aes128_s089_openssl.bin,AES-128,aes128,544,openssl,360,04b2b08d9184fd6e,544,7.581991871099036,278.5882352941176,124.94301470588235,5334.730208558607,0.033415945925075435,-1.1726915331270074,0.02090499118239464,9.08112514655206,9.082149041353869,266,-0.5897263738465084,0.08700117328087671,0.08471851927796259,19.813969186382153,27.40941324912937,0.08823529411764706,0.16176470588235295,0.06985294117647059,0.04595588235294118,0.46875,0.001838235294117647,1,2,7.609423314650472
aes256_s030_openssl.bin,AES-256,aes256,2064,openssl,361,59d3e0fca7161031,2064,7.904511432420694,263.3178294573643,128.4171511627907,5497.860384132189,-0.04407790433975089,-1.2101631215625215,0.03652115189924041,10.983383171325167,11.009828617368107,1006,-1.1687770759571012,0.0822217187426218,0.07900704306449421,19.834567685379724,27.31168528354736,0.0562015503875969,0.1065891472868217,0.07218992248062016,0.0562015503875969,0.48304263565891475,0.0009689922480620155,0,2,7.9095604403944035
des_s091_openssl.bin,DES,des,1040,openssl,362,fb09202c5e38cdce,1040,7.842946094430858,220.8,125.26057692307693,5531.523445821006,0.026999706110096396,-1.220642026349929,0.04649268351058363,10.011355299828177,10.019590728357882,501,-1.2408299435678158,0.0824010972524175,0.08428695000311971,18.819721554228646,27.8571218737729,0.06634615384615385,0.125,0.07019230769230769,0.05384615384615385,0.5182692307692308,0.0019230769230769232,0,2,7.8021631695978195
3des_s078_liboqs.bin,3DES,3des,520,liboqs,363,7664a72645d17376,520,7.5986907296142645,252.92307692307693,127.3423076923077,5401.80974852071,0.015446761707835823,-1.1765985220556958,0.05938218891735164,9.01959072835788,9.016808287686555,259,-0.17524578038308386,0.1741600595844341,0.06007884366082042,22.430585424304983,30.09769570884536,0.09230769230769231,0.16346153846153846,0.06153846153846154,0.05961538461538462,0.5038461538461538,0.0057692307692307696,2,2,7.593152990920009
chacha20_s009_openssl.bin,ChaCha20,chacha20,272,openssl,364,a147e9bc88bbc484,272,7.206624697724815,253.1764705882353,122.40441176470588,5322.74821583045,0.046416952530109266,-1.2169440481594576,0.06754617905773892,8.08214904135387,8.07681559705083,126,-1.2836994547518532,0.08511644781463401,0.11029411764705882,18.5201613814555,29.36802261976716,0.11029411764705882,0.19852941176470587,0.058823529411764705,0.04779411764705882,0.45588235294117646,0.0,6,2,7.175920351173271
mlkem768_s026_liboqs.bin,ML-KEM-768,mlkem768,1088,liboqs,365,d15c53cdee9347ae,1088,7.816562689701475,265.4117647058824,130.04779411764707,5310.014259839965,0.011627521722630431,-1.165445412699614,-0.02308008737906943,10.069576887400814,10.084808387804364,565,1.213351934490386,0.08706689889170534,0.08471851927796259,19.372536363905674,25.889373577816247,0.07169117647058823,0.1323529411764706,0.050551470588235295,0.07536764705882353,0.5055147058823529,0.0,0,2,7.804478957470598
rsa2048_s065_openssl.bin,RSA-2048,rsa2048,256,openssl,366,bb093457f3b8d378,256,7.26453933212955,236.0,134.5546875,5266.450134277344,-0.12968684844539466,-1.1401406174678468,-0.02883432850418388,7.986510299603956,7.9886846867721655,120,-1.0357104565950368,0.07287014885225637,0.04349815908460954,19.549240152173276,26.644614574803736,0.125,0.2109375,0.0546875,0.0703125,0.4765625,0.00390625,4,2,7.197007113202183
rsa2048_s034_openssl.bin,RSA-2048,rsa2048,256,openssl,367,7dc3c9c9b563e997,256,7.154520593706188,262.0,134.37890625,5616.735336303711,-0.11965643840217154,-1.270011258203867,0.0857685494703648,7.986510299603956,7.9886846867721655,118,-1.2478127678724378,0.07654655446197431,0.09077304717673633,18.794809330985135,26.442162790181534,0.1171875,0.2109375,0.046875,0.06640625,0.48046875,0.0,5,2,7.038816146819292
rsa2048_s063_openssl.bin,RSA-2048,rsa2048,256,openssl,368,83cf3bd77fe3bcac,256,7.196040869030761,238.0,124.55859375,5036.941879272461,0.03041724910464653,-1.081601139214359,-0.1274752577788891,7.986510299603956,7.9886846867721655,128,-0.0069005437607873995,0.05412658773652741,0.07287014885225637,16.608198581779902,22.806784052200584,0.109375,0.203125,0.05859375,0.05078125,0.49609375,0.00390625,4,1,7.2220673466357646
aes128_s087_openssl.bin,AES-128,aes128,544,openssl,369,6c664d0fc3843356,544,7.596070105675698,269.1764705882353,124.7904411764706,5534.820055687716,0.05588681459123431,-1.210783241435302,-0.0004918359940628997,9.08112514655206,9.082149041353869,280,0.6332105228233987,0.06789038717874775,0.07090919677200702,19.060154643285337,27.807046236405597,0.08823529411764706,0.16176470588235295,0.07169117647058823,0.051470588235294115,0.48161764705882354,0.012867647058823529,3,2,7.619623159208708
chacha20_s030_openssl.bin,ChaCha20,chacha20,4112,openssl,370,255bb1fbd2305a5c,4112,7.9627541700117765,210.11673151750972,127.1262159533074,5454.837425564259,-0.003371820660838145,-1.2142928787710672,-0.001042764249680228,11.952364443476046,12.004922678569045,2083,0.8177924064982567,0.08985090202133861,0.08358403245422735,18.388766921309422,25.56129915182033,0.04790856031128405,0.0911964980544747,0.05982490272373541,0.05423151750972763,0.49343385214007784,0.0036478599221789884,0,2,7.950986818254475
aes128_s020_openssl.bin,AES-128,aes128,528,openssl,371,1a527db0654bd0b7,528,7.62328234420842,237.0909090909091,122.98295454545455,5615.039482179753,0.08763577207590041,-1.2141095192847897,-0.042347092007537855,9.037864085223552,9.038918989292302,263,-0.09009312112285169,0.07556794448204547,0.0815934061687046,15.413287452598123,22.105173088114682,0.08143939393939394,0.15151515151515152,0.07196969696969698,0.054924242424242424,0.509469696969697,0.001893939393939394,1,2,7.581496850355831
mlkem768_s000_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,372,4f900b595a9bae79,1088,7.823459215356631,242.35294117647058,126.79779411764706,5548.2366863105535,0.027325643464906697,-1.1829132617571474,-0.0098795109616141,10.075096666609646,10.084808387804364,540,-0.2993311416529887,0.09204035122882387,0.08806279093384915,16.628707561649154,24.952528729309666,0.06525735294117647,0.12408088235294118,0.06985294117647059,0.0661764705882353,0.49080882352941174,0.001838235294117647,0,2,7.829113214158267
